learning_rate,warmup_ratio,rank,alpha,dropout,target_modules,trial_id,val_accuracy,pso_epoch
0.0002,0.1,4,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",57,0.8815,3
0.0002,0.06,4,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",58,0.8835,3
1e-05,0.06,16,96,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",59,0.556,3
1e-05,0.0,4,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",60,0.534,3
1e-05,0.06,8,64,0.0,"['q_lin', 'v_lin']",61,0.473,4
1e-05,0.0,4,8,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",62,0.4085,4
0.0002,0.06,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",63,0.895,4
1e-05,0.0,24,96,0.0,"['q_lin', 'v_lin']",64,0.5185,4
0.0002,0.06,4,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",65,0.8835,4
1e-05,0.06,24,32,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",66,0.5205,4
1e-05,0.06,4,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",67,0.551,4
1e-05,0.06,24,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",68,0.549,4
1e-05,0.06,2,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",69,0.535,4
0.0002,0.06,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",70,0.8985,4
0.0002,0.0,4,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",71,0.888,4
1e-05,0.0,8,32,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",72,0.519,4
0.0002,0.1,4,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",73,0.894,4
0.0002,0.0,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",74,0.8975,4
0.0002,0.06,4,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",75,0.8925,4
0.0002,0.1,2,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",76,0.8835,4
0.0002,0.1,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",77,0.891,4
0.0002,0.06,4,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",78,0.891,4
1e-05,0.06,16,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",79,0.5485,4
1e-05,0.0,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",80,0.5445,4
1e-05,0.1,8,96,0.0,"['q_lin', 'v_lin']",81,0.514,5
1e-05,0.1,4,32,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",82,0.5215,5
0.0002,0.06,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",83,0.8985,5
1e-05,0.1,8,96,0.0,"['q_lin', 'v_lin']",84,0.511,5
0.0002,0.0,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",85,0.8985,5
1e-05,0.06,24,8,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",86,0.43,5
1e-05,0.1,4,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",87,0.5485,5
1e-05,0.0,24,96,0.05,"['q_lin', 'v_lin']",88,0.496,5
1e-05,0.1,4,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",89,0.5555,5
0.0002,0.1,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",90,0.89,5
0.0002,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",91,0.8935,5
1e-05,0.06,24,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",92,0.5535,5
0.0002,0.1,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",93,0.8895,5
0.0002,0.0,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",94,0.891,5
0.0002,0.1,4,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",95,0.892,5
0.0002,0.1,4,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",96,0.9045,5
0.0002,0.1,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",97,0.896,5
0.0002,0.06,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",98,0.8905,5
1e-05,0.1,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",99,0.5495,5
1e-05,0.1,16,96,0.1,"['q_lin', 'v_lin']",100,0.5095,5
